period,ticker,origin,endpoint,horizon,origin_spot,observed,daily_variance,daily_drift,return_count,stock_feature_age,market_feature_age
2025,LLY,2025-07-30,2025-07-31,1,760.08,740.07,0.0005688594201794922,0.0,2909,0,0
2025,LLY,2025-07-30,2025-08-06,5,760.08,746.37,0.0005688594201794922,0.0,2909,0,0
2025,LLY,2025-07-31,2025-08-01,1,740.07,762.33,0.0005731465720682679,0.0,2910,0,0
2025,LLY,2025-07-31,2025-08-07,5,740.07,640.86,0.0005731465720682679,0.0,2910,0,0
2025,LLY,2025-08-01,2025-08-04,1,762.33,769.0,0.0005822987386651194,0.0,2911,0,0
2025,LLY,2025-08-01,2025-08-08,5,762.33,625.65,0.0005822987386651194,0.0,2911,0,0
2025,LLY,2025-08-04,2025-08-05,1,769.0,765.95,0.0005671064503870202,0.0,2912,0,0
2025,LLY,2025-08-04,2025-08-11,5,769.0,635.22,0.0005671064503870202,0.0,2912,0,0
2025,LLY,2025-08-05,2025-08-06,1,765.95,746.37,0.0005505670552882152,0.0,2913,0,0
2025,LLY,2025-08-05,2025-08-12,5,765.95,639.43,0.0005505670552882152,0.0,2913,0,0
2025,LLY,2025-08-06,2025-08-07,1,746.37,640.86,0.0005541672543766837,0.0,2914,0,0
2025,LLY,2025-08-06,2025-08-13,5,746.37,660.49,0.0005541672543766837,0.0,2914,0,0
2025,LLY,2025-08-07,2025-08-08,1,640.86,625.65,0.0012344104253685373,0.0,2915,0,0
2025,LLY,2025-08-07,2025-08-14,5,640.86,684.43,0.0012344104253685373,0.0,2915,0,0
2025,LLY,2025-08-08,2025-08-11,1,625.65,635.22,0.0012146868021324971,0.0,2916,0,0
2025,LLY,2025-08-08,2025-08-15,5,625.65,701.23,0.0012146868021324971,0.0,2916,0,0
2025,LLY,2025-08-11,2025-08-12,1,635.22,639.43,0.0011851594308077728,0.0,2917,0,0
2025,LLY,2025-08-11,2025-08-18,5,635.22,698.05,0.0011851594308077728,0.0,2917,0,0
2025,LLY,2025-08-12,2025-08-13,1,639.43,660.49,0.0011509137294140987,0.0,2918,0,0
2025,LLY,2025-08-12,2025-08-19,5,639.43,703.21,0.0011509137294140987,0.0,2918,0,0
2025,LLY,2025-08-13,2025-08-14,1,660.49,684.43,0.0011478885063724942,0.0,2919,0,0
2025,LLY,2025-08-13,2025-08-20,5,660.49,705.44,0.0011478885063724942,0.0,2919,0,0
2025,LLY,2025-08-14,2025-08-15,1,684.43,701.23,0.0011514820315129718,0.0,2920,0,0
2025,LLY,2025-08-14,2025-08-21,5,684.43,709.82,0.0011514820315129718,0.0,2920,0,0
